FOOD,PRICE,RESTURANT
Big Mac,3.99 ,McDonalds
Big Mac - Meal,5.69 ,McDonalds
2 Cheeseburgers,2.58 ,McDonalds
2 Cheeseburgers - Meal,4.89 ,McDonalds
Quarter Pounder with Cheese,3.79 ,McDonalds
Quarter Pounder with Cheese - Meal,5.49 ,McDonalds
Double Quarter Pounder with Cheese,4.79 ,McDonalds
Double Quarter Pounder with Cheese - Meal,6.49 ,McDonalds
Bacon Habanero Ranch Quarter Pounder,4.09 ,McDonalds
Bacon Habanero Ranch Quarter Pounder - Meal,5.79 ,McDonalds
Deluxe Quarter Punder,4.09 ,McDonalds
Deluxe Quarter Punder - Meal,5.79 ,McDonalds
Bacon & Cheese Quarter Pounder,4.09 ,McDonalds
Bacon & Cheese Quarter Pounder - Meal,5.79 ,McDonalds
Filet-O-Fish,3.79 ,McDonalds
Filet-O-Fish - Meal,5.49 ,McDonalds
Double Filet-O-Fish,4.69 ,McDonalds
Double Filet-O-Fish - Meal,6.39 ,McDonalds
Double Cheeseburger,1.59 ,McDonalds
Double Cheeseburger - Meal,4.19 ,McDonalds
Chicken Ranch BLT (Grilled or Crispy),4.29 ,McDonalds
Chicken Ranch BLT (Grilled or Crispy) - Meal,5.99 ,McDonalds
Club Chicken (Grilled or Crispy),4.49 ,McDonalds
Club Chicken (Grilled or Crispy) - Meal,6.19 ,McDonalds
Classic Chicken (Grilled or Crispy),4.19 ,McDonalds
Classic Chicken (Grilled or Crispy) - Meal,5.89 ,McDonalds
Southern Style Chicken,3.89 ,McDonalds
Southern Style Chicken - Meal,5.59 ,McDonalds
Bacon Clubhouse Burger,4.49 ,McDonalds
Bacon Clubhouse Burger - Meal,6.19 ,McDonalds
Premium Chicken Bacon Clubhouse (Grilled or Crispy),4.49 ,McDonalds
Premium Chicken Bacon Clubhouse (Grilled or Crispy) - Meal,6.19 ,McDonalds
